#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
     119   11273.0022     620.3335     528.0522     438.1553     377.3154     414.9780     338.3817     261.7333     290.4796     338.3440     370.2223     282.0441     340.3654     521.0516     564.4339    2283.7873     549.4808    1881.1982     872.6455
     120   10327.3234     361.4917     337.7013     441.5918     284.7522     260.9942     342.3004     412.9025     595.9758     367.6443     225.1160     200.7271     194.7156     294.9897     399.4478    2597.8702     512.1173    1771.9549     725.0305
     121   10924.3591     399.7647     293.7172     265.8370     291.0591     365.3095     408.3119     429.5843     526.3508     598.5307     702.0611     390.9620     343.8230     297.3891     309.8427    2567.3737     459.4418    1453.1400     821.8606
     122   12462.3642     631.3172     538.4721     280.4824     330.7883     440.3429     499.0888     420.0689     277.7354     238.7858     179.9890     185.6255     200.6120     320.6441     389.1862    4442.6239     641.8781    1442.9224    1001.8012
     123   10779.1679     482.0783     396.8285     322.3498     266.1165     244.7187     293.9725     372.6075     279.0334     230.1614     244.3991     330.3228     536.9614     518.6883     540.0090    3296.1440     544.8277    1066.8248     813.1242
     124   13340.9537     573.1114     520.5980     503.1339     356.9671     479.1195     486.5427     512.8181     421.0784     368.1263     402.6794     444.0253     410.4739     555.7683     594.9971    2540.0596     916.4371    2371.1305     883.8871
     125    8346.5073     803.7051     404.8328     314.6858     292.8082     315.5979     310.2311     246.3128     212.1775     214.8625     180.1980     182.7337     183.9729     194.6268     241.3156    1965.9100     315.4732    1219.0358     748.0275
     126   11602.9801     477.2492     368.6438     303.1442     368.8099     418.5959     410.3845     363.9459     298.2674     388.2786     468.9708     620.4326     788.7076     554.8973     387.4863    2754.6758     447.5424    1386.5794     796.3684
     127   12633.3611     536.6655     416.5727     386.4410     284.9085     310.0623     332.3457     326.7644     355.6073     410.4954     309.4128     374.4853     406.0750     683.7521     682.4829    3192.3815     820.4217    1876.3198     928.1674
     128   10824.5379     691.0845     404.7135     362.7430     438.0492     300.3779     203.4794     199.7727     276.6680     345.7818     263.2202     214.6167     227.2237     265.7509     399.3497    2972.0015     665.9828    1631.5451     962.1770
     129    9687.4970     431.1056     249.4740     217.1426     271.7113     440.5931     554.2806     465.2775     238.4604     201.1992     242.7457     367.1934     353.1528     437.4113     430.9893    2490.1195     574.0284    1185.1791     537.4331
     130    9967.7504     488.5772     361.4726     444.7074     527.4884     627.2993     491.6828     317.3330     320.2482     313.2352     258.6592     219.5736     202.0782     245.7939     279.0956    2264.9275     588.2343    1316.2146     701.1295
     131    9359.7522     455.8945     381.5655     382.2463     316.2653     261.3962     196.8378     192.2808     216.5309     252.8555     325.7520     444.5813     320.4274     332.2299     408.2397    2776.0099     454.4746    1121.2996     520.8650
     132   12332.8338     615.8580     587.9500     618.3328     430.7270     257.7495     340.2982     372.1211     467.6165     498.2864     417.0783     552.3590     527.8594     288.8576     318.7472    2442.4358     679.8015    1905.5683    1011.1872
