#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
     106   10156.4757     389.6928     448.2968     437.2104     381.6942     345.6426     278.1197     270.2636     216.9535     187.6026     205.0438     211.4097     280.9192     514.3614     457.9725    1613.1105     638.1910    2756.7679     523.2235
     107   11491.5356     386.5493     284.1150     292.8687     300.8140     368.5124     311.9402     264.4177     299.8959     245.5921     233.2778     335.0389     650.7987     649.7866     705.5254    1619.1117     658.7687    3234.4551     650.0675
     108   10273.7945    1066.4629     447.5816     271.9378     275.7221     351.1460     375.3069     314.0311     416.0356     437.7268     448.0114     375.0190     319.9487     260.0637     332.2238    1161.8273     441.4617    2463.8425     515.4458
     109   13943.3134     660.6611     584.6642     429.7922     424.9431     508.5141     513.8256     525.2314     453.1630     529.5692     361.7132     329.1579     298.3483     293.6847     372.3578    2091.4074     592.8503    4340.6165     632.8134
     110   10730.5180     557.5052     604.1685     498.9131     363.6693     235.8709     215.6311     227.8226     272.7221     234.9619     214.7819     194.9486     232.3532     447.7143     664.4834    1454.9440     519.8928    2871.2084     918.9271
     111   12175.8572     883.2937     706.1850     471.1622     369.9126     317.1088     227.0724     201.3507     188.6082     207.4978     347.6464     393.9817     468.3387     334.2219     299.3617    1771.8268     823.5485    3203.7001     961.0400
     112    8328.1230     307.4258     198.5808     161.2259     165.2550     151.3489     157.3733     159.5976     172.6370     213.8213     250.1151     242.4174     225.4213     243.6863     264.3561    1071.4525     426.2852    3101.3299     815.7935
     113   12358.1481     386.8931     328.4853     342.8458     376.9076     541.4468     574.0487     301.2105     282.7386     348.7290     381.4933     551.1849     611.8876     696.5863     379.9300    1355.5291     434.0148    3406.9547    1057.2621
     114   11382.5751     718.5126     607.5686     604.6918     648.7372     549.9949     436.9984     390.3192     336.1898     271.8286     256.2687     276.8781     315.3603     279.5519     291.1357    1328.7400     464.5918    2773.3707     831.8368
     115   12820.0086     527.6322     338.0566     287.7875     275.0366     300.7827     337.6880     314.0829     329.6592     572.7031     419.6913     493.5473     591.0937     392.3114     385.8785    2012.8482     517.4485    3552.4852    1171.2757
     116    9659.2062     432.8237     302.7071     324.8701     350.4008     336.6314     247.2100     228.6483     255.1066     309.3756     326.6221     292.9476     321.6953     330.5806     372.4566    1288.8743     540.8820    2733.5050     663.8689
     117   10332.4782     655.9887     439.0806     340.8022     261.1526     248.5992     246.1644     337.6112     356.2155     394.2644     351.4102     231.7992     201.2483     212.7644     263.0881    1123.1218     543.4569    3339.5638     786.1466
     118   11940.2166     449.3082     339.1974     419.1803     439.5112     438.8819     322.6512     368.2869     351.6244     500.7233     633.2886     748.3408     458.1161     290.6725     304.3930    1015.4604     449.0402    3529.4166     882.1237
     119   11972.5069     719.1584     395.0050     362.2582     395.1063     503.5882     454.4793     684.0056     718.1915     427.8307     301.4955     298.1345     312.3858     247.9189     268.7201    1291.8315     520.1489    3134.0906     938.1580
     120   10512.6547     649.1043     315.5355     288.8077     306.0682     381.2046     488.0665     451.9138     336.6614     382.6779     298.1910     519.8146     511.8676     418.9095     421.1431     995.3629     581.0881    2476.2433     689.9946
     121   10930.8262     704.6412     458.7338     467.3488     467.4373     477.5450     417.2028     337.7591     233.9419     218.6929     317.5711     421.4902     397.2973     403.6436     340.6995    1003.7124     733.9289    2847.1092     682.0712
     122   10571.1546     785.2797     639.7645     553.7269     365.9488     259.8408     216.5761     227.2333     292.8036     266.7144     280.1271     335.1996     389.2119     255.6309     275.4905    1004.2454     653.8207    3068.4893     701.0510
     123   10754.5666     697.2641     355.3397     293.0973     271.2413     253.1853     276.7297     277.8408     367.5781     333.8590     410.9624     450.0540     334.6066     313.3768     455.2217    1508.2514     594.3148    2989.8397     571.8040
     124    9510.7833     362.3193     290.0638     256.7557     269.3054     191.9247     226.4779     318.8069     360.9624     312.4533     294.4564     295.0650     279.4426     293.0823     349.1888    1187.4479     393.0589    2903.1885     926.7833
     125   11056.3104     388.5103     383.2221     344.0581     269.3477     356.9461     272.0671     259.5240     273.8311     315.0114     396.2629     399.4235     288.2151     252.9183     301.8636    1205.3369     486.0940    4028.0515     835.6266
     126   11017.0494     321.7349     247.9145     329.6406     363.1188     277.0239     292.7232     407.9312     352.4681     439.1468     663.6296     561.4361     455.8092     353.1029     306.2866    1283.0940     527.0425    3157.7106     677.2360
     127   10868.1818     474.1825     427.1092     386.8772     437.4855     288.9322     233.5238     232.3666     280.0132     349.6639     442.8893     760.6924     666.4782     442.2999     307.7165    1043.8541     685.2765    2899.1335     509.6873
     128    9946.3786     391.4976     283.0307     277.1349     329.7814     409.3068     450.3775     360.8614     286.3743     353.2233     430.8445     425.4751     417.6177     343.2154     432.0305    1447.5220     548.3679    2287.5145     472.2032
     129   12134.9116     574.6174     381.6304     431.2191     449.5450     527.7238     624.1363     582.4873     529.4995     450.8914     285.9780     286.9076     330.5556     292.7207     336.5093    1438.3220     598.5497    3467.6703     545.9484
     130    9993.8228     337.1078     232.0161     211.1553     198.3911     176.2578     170.8751     165.0269     272.7738     359.8421     347.2296     304.1774     347.2030     542.9440     434.2931    1020.8690     403.3700    3493.9213     976.3693
     131   10791.7357     439.4986     500.8763     453.6574     469.1540     491.9020     362.2630     198.5382     180.9821     187.0869     289.0435     301.4366     367.9388     370.4533     380.5853    1808.6776     387.6354    2859.9569     742.0498
