#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
      94    7493.1342     527.5048     259.0145     226.2219     225.0799     207.1456     190.8732     196.7585     339.9894    2682.4330     493.6920    1281.2951     863.1263
      95    7175.2145     480.6361     237.3174     213.8182     201.6719     224.5906     446.4193     477.8639     483.5507    2173.0081     436.6238    1114.1154     685.5992
      96    8892.5750     450.2919     530.0404     457.3455     274.0906     283.6843     398.4887     460.9339     450.9846    3082.5238     521.1420    1176.9425     806.1067
      97    8096.5373     429.3274     308.5167     252.9984     239.4805     239.3606     334.0828     502.2350     467.8492    3109.1461     444.3683    1000.4377     768.7347
      98    9730.4280     747.6180     446.6741     416.8580     425.4716     405.8621     298.6360     260.6287     385.5478    3445.7516     623.5152    1102.8157    1171.0494
      99    8051.7104     342.5334     259.2141     284.5831     252.4599     217.1107     225.3374     283.5841     313.5408    3410.0349     487.8152    1213.5518     761.9451
     100    8671.1780     877.6488     626.9544     285.1291     245.6689     238.3070     256.1752     268.9090     335.8738    3211.1174     439.4541    1170.5923     715.3481
     101   10793.5656     427.0567     452.7016     489.9905     416.9983     559.0706     553.4822     465.3994     398.5083    3610.6013     588.2421    1545.7793    1285.7355
     102    6167.0061     321.9753     213.7479     212.0497     202.3785     185.7886     168.7595     162.3001     230.7238    2328.0896     421.0691    1013.3020     706.8220
     103    7848.8311     704.7727     668.0846     509.5096     310.5641     188.5822     175.6094     180.8838     248.9899    2207.2147     522.4821    1302.5029     829.6349
     104    8014.3617     486.7000     416.8235     374.9240     477.7343     341.2130     249.2500     245.9070     326.5121    2465.8696     481.0179    1460.2921     688.1181
     105    8678.7543     733.6859     466.2029     259.5766     234.5642     215.6357     233.2747     300.2975     404.5850    3164.0388     384.6308    1520.8163     761.4459
     106    7890.5528     573.5652     297.8742     227.9957     195.8728     205.3032     207.6151     268.9732     317.7518    3291.4506     421.2662    1019.7039     863.1809
     107    6826.6623     418.7583     276.0964     236.7168     244.2085     261.7779     244.1270     208.5672     229.1781    2629.5445     376.9355    1004.8241     695.9281
     108    9531.4970     644.5385     568.1345     564.7386     326.6465     290.1780     286.2111     339.0993     453.8606    3708.4962     477.9137    1053.3214     818.3586
     109    9381.8746     309.0462     250.8299     334.6624     409.0720     423.4036     388.1307     487.2617     419.2567    3019.0835     492.3603    1908.6106     940.1570
     110   10163.0574     384.8923     319.3139     335.9643     323.5339     404.7015     551.2424     407.4575     379.0507    3561.2844     623.9986    2002.2248     869.3933
     111    7451.5290     643.2093     486.2494     340.6852     276.0008     274.4315     228.1692     219.6368     264.6518    2291.1983     374.0561    1138.3465     914.8941
     112    8645.8785     538.6118     416.6012     298.7763     276.7014     248.0234     274.2326     362.1081     376.7149    2753.0056     471.6082    1787.4912     842.0037
     113    8613.0549     714.9053     822.8879     594.8675     423.4227     265.1520     189.9278     192.9159     287.6365    2522.1642     560.6906    1309.0029     729.4816
     114    9551.5735     828.9900     699.0961     685.7206     466.6879     406.2161     388.4091     394.6272     280.8885    2335.9655     594.6128    1709.8992     760.4605
     115    7228.2067     537.7878     491.8826     320.1201     267.9802     232.8170     226.0611     235.7502     332.6052    1945.6227     429.4360    1507.9973     700.1464
     116    9496.6784     656.1082     398.6973     424.9282     405.7985     576.6863     528.3922     686.7179     394.0514    2471.1745     435.8520    1682.4280     835.8440
     117    9431.0915     432.8938     269.1403     191.7596     178.3178     198.7333     435.8735     625.8456     768.7119    3099.1943     739.6735    1645.6566     845.2913
     118    8902.2787     318.3866     256.1452     207.2170     225.4316     407.4539     527.4291     367.9496     323.6214    3355.6305     636.4556    1613.3892     663.1691
     119    9956.2108     558.3291     362.4265     360.4055     307.6227     336.9306     350.6629     518.9792     571.1091    3310.8570     738.9303    1487.7014    1052.2565
     120    9237.5160     369.3153     339.6134     281.4844     208.2789     361.2537     665.3933     503.3715     316.1350    3317.2470     711.5902    1219.0792     944.7542
     121    8162.9341     794.1462     585.4737     430.1877     248.9196     231.4744     214.5666     262.3038     277.5024    2832.9151     495.2291    1131.9327     658.2826
     122    6645.8773     317.1227     226.0795     314.1569     377.2641     386.0729     330.0038     381.4897     387.2645    2146.7042     384.0973     913.3322     482.2896
     123    7081.6349     312.2528     234.3304     228.8212     237.9179     446.1098     418.9370     316.6197     336.9832    2540.5134     416.9662     905.0354     687.1478
