#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     173    8522.5434     734.3639     482.5552     395.8285     429.7987     481.4852    1852.4629     541.1370    2298.6275    1306.2845
     174    7232.1320     641.4379     386.0476     316.2461     244.6296     237.9449     989.6691     405.6053    3051.2542     959.2973
     175    7794.6215     502.9251     337.5907     249.4144     274.0294     282.4583    1699.3200     491.8664    3267.8443     689.1729
     176    6435.2927     468.0821     480.9569     486.0596     329.1605     319.7012    1177.4663     381.2461    2028.9443     763.6756
     177    6719.6521     829.5383     437.8413     305.2155     218.4549     240.1660    1289.5233     400.9946    2258.0650     739.8533
     178    7506.1796     826.1791     516.8050     461.7802     521.3383     398.6768    1228.8834     385.6190    2345.2087     821.6892
     179    8085.3155     731.1119     588.5234     331.8588     297.9024     284.3865    1606.4693     437.1960    3196.8638     611.0034
     180    7810.2461     475.7774     668.7520     559.6575     414.1101     308.5484    1531.7219     619.7536    2245.9232     986.0020
     181    9780.0487     450.5586     530.2950     501.5910     415.7322     448.7040    1615.1347     734.2289    3885.4524    1198.3519
     182    6725.5271     607.9012     335.2964     332.2527     282.6096     312.8087    1501.5056     456.3133    2041.9507     854.8889
     183    7484.2651     640.4753     249.8622     220.0375     225.7316     286.9233    1360.9440     486.9031    3209.0190     804.3692
     184    9864.6660     850.3411     860.4245     584.4083     476.9898     347.5630    1550.8975     636.8812    3783.5204     773.6402
     185    7093.2280     474.5633     313.1815     375.1326     321.4586     291.4680    1504.7543     552.8453    2432.2213     827.6030
     186    6932.8625     763.1210     302.7927     215.9525     216.7602     317.7133    1006.9793     467.2809    2940.3427     701.9200
     187    8038.1790     584.1345     417.9029     377.7246     378.3629     387.4091    1330.6518     537.5789    3131.1910     893.2234
     188    5994.9401     314.0445     223.6664     220.3340     286.3981     277.7782    1051.6127     449.9743    2577.5421     593.5898
     189    7894.4703     498.9103     537.0836     451.1180     323.8185     260.0760    1309.1352     517.1703    3020.9671     976.1913
     190    8926.9274     657.3806     560.1288     361.9836     394.7716     374.2986    1332.5758     518.3554    3928.6368     798.7962
     191    6635.1242     709.9505     370.5139     222.0924     252.6328     283.3731    1249.5673     578.9786    2248.6113     719.4043
     192    6550.5982     355.2603     235.0182     232.2767     263.0022     258.2498    1511.9610     478.1659    2557.0911     659.5732
     193    7527.6117     506.3146     442.4856     387.6095     487.4137     484.2516    1207.6703     591.2994    2345.5655    1075.0017
     194    7752.3915     662.6888     419.0759     327.9739     420.1021     479.4347    1014.0296     645.6492    2825.5250     957.9124
     195    6374.1686     313.5390     205.5493     184.0253     174.3435     189.4565    1200.0239     563.8977    2776.7681     766.5653
     196    8123.5068     572.2898     416.3993     294.5776     263.2093     277.8786    1858.6473     514.0158    3311.9338     614.5553
     197    6996.1318     523.1854     321.0846     361.4259     400.5287     281.7728    1587.8063     367.4660    2619.7488     533.1133
     198    8380.9677     460.0136     387.9653     418.4987     596.9111     592.7364    1433.7885     710.9603    2848.7517     931.3422
     199    6487.4394     474.8894     361.7118     349.6967     288.7235     329.6234    1208.6698     411.2992    2344.4210     718.4046
     200    6169.6804     441.1680     420.9644     309.6340     227.0616     255.8226    1312.9844     450.6497    2063.3312     688.0645
     201    8161.3595     604.2269     606.7340     601.6435     348.8868     386.9195    1478.3941     524.7161    2837.1205     772.7181
     202    7470.3683     525.4165     473.5577     286.0321     230.4628     214.4007     926.5856     489.0958    3495.7994     829.0175
     203    6148.8903     323.2059     205.5916     186.8888     181.1289     253.8032    1390.4719     546.0156    2181.4330     880.3513
     204    6724.3881     482.6981     333.9740     244.3314     278.0477     471.2661    1283.4901     552.6203    2260.7275     817.2329
     205    7814.2825     496.7716     349.7638     246.6559     273.8766     295.0294    1851.2696     498.3797    2931.5740     870.9618
     206    7776.0860     313.7078     199.6288     190.2878     299.9781     408.8798    1348.6679     651.7413    3404.9352     958.2593
     207    7442.5518     908.3253     256.6118     259.9260     289.9048     345.4033    1664.8273     561.0957    2315.5654     840.8921
     208    6933.9843     407.8197     260.6290     230.1860     259.3745     286.2479    1579.3577     523.2037    2573.2235     813.9422
     209    8422.7118     612.0688     377.4105     284.8530     358.2406     375.8623    1627.9012     566.5342    3154.2704    1065.5707
     210    8743.8728     914.1922     481.7815     310.6153     305.8905     432.8632    1769.7157     745.6486    2905.2356     877.9301
     211    7586.8417     624.9417     375.3329     398.3981     525.1412     493.5611    1203.0310     569.5874    2474.2997     922.5486
     212    6849.4568     511.4755     289.4342     296.0764     365.3866     312.3742    1553.3010     484.3922    2144.2199     892.7967
     213    7910.8816     495.7131     350.7508     315.9513     368.0358     351.3880    1799.8596     714.7107    2585.1520     929.3201
     214    6629.8708     398.1351     227.4227     209.2538     223.0746     347.4450    1477.9003     488.0615    2718.3493     540.2285
     215    6475.1141     551.4327     343.7561     327.6872     293.2528     282.0607     837.4269     304.6248    2657.9888     876.8841
     216    8342.6066     552.3162     569.6734     672.9626     373.8274     268.9683    1284.0152     568.4932    3268.8837     783.4666
     217    7169.7188     331.2074     344.4425     430.9169     328.8533     406.9448    1169.8238     437.6717    2976.7543     743.1040
     218    6976.5723     546.1190     352.8248     239.1971     207.7959     227.7761    1340.2193     532.0081    2889.3264     641.3055
     219    8386.2971     712.9748     781.3565     410.0572     267.7693     300.0308    1573.2695     669.5696    2799.1466     872.1226
     220    9919.5289     730.2806     405.6218     392.7117     402.0303     292.8803    2147.3413     562.4392    4141.3199     844.9039
     221    7970.4228     376.5632     456.8676     367.1115     264.1137     250.7071    1761.5322     664.0754    2890.7064     938.7459
     222    8263.8346     500.8329     361.7320     386.4831     284.3207     261.3709    1802.1812     646.9845    3283.3720     736.5572
     223    5937.8834     319.8602     202.5660     199.2170     281.7663     326.2592    1138.6807     439.3159    2475.7819     554.4363
     224    7597.5122     555.1205     323.2017     267.0952     349.1588     318.8851    1144.5062     492.9573    3405.1653     741.4222
     225    6188.6141     317.2866     313.8956     323.2776     341.2448     392.4075    1279.4936     352.8749    2358.5620     509.5716
     226    7585.6286     819.8747     582.9485     349.2072     258.5185     320.4690    1173.9770     671.1449    2499.6016     909.8873
     227    7642.3216     382.0151     355.9846     350.6494     330.6513     357.9404    1742.9435     569.8180    2663.4403     888.8790
     228    7911.9003     586.9719     234.8228     206.8074     235.8154     332.3892    1968.0877     572.0022    3034.1027     740.9011
     229    6442.8041     360.9854     235.5822     234.8379     295.3254     361.8710    1589.4544     515.5566    2123.2563     725.9349
     230    7959.2616     651.0628     504.5052     358.9811     374.4303     367.1810    1449.5254     474.4929    3021.9969     757.0861
     231    8239.7883     661.0223     569.4035     497.3543     291.4864     349.9432    1409.8941     753.5771    2720.1494     986.9579
     232    7020.5194     428.8449     439.8328     636.5058     402.7731     310.0514    1238.8455     572.6217    2178.2921     812.7522
     233    5981.5989     470.1121     379.7346     327.3758     302.6914     290.0446     949.4686     525.3695    2190.1100     546.6922
     234    7816.3551     810.4691     505.9838     498.9738     346.4990     343.6380    1613.2251     593.7622    2153.2546     950.5493
     235    6511.7989     309.0941     206.3352     210.9819     238.1120     266.9603    1469.9917     537.1726    2510.5389     762.6122
     236    6822.5401     490.0138     258.6815     224.5390     266.9621     276.8979    1586.3626     557.8321    2155.1469    1006.1042
     237    8778.6577     960.9411     501.0052     341.8052     305.1540     351.9525    1529.1527     540.3653    3288.1558     960.1259
     238    7648.1911     452.7202     302.6013     319.3258     292.9521     297.1605    1568.7399     528.8316    2949.7576     936.1021
     239    7467.6756     732.5819     525.2991     387.9485     329.8618     347.1924    1152.9612     446.6879    3019.2230     525.9199
     240    7544.3618     492.0036     318.2879     211.7217     201.5157     273.9214    1482.2313     562.5398    3076.7173     925.4230
     241    8487.4714     585.7078     315.2162     262.1544     304.0410     330.1612    1106.1047     657.5739    3662.4650    1264.0472
     242    7872.2917     596.6545     593.1886     356.8154     277.3951     259.6167    1024.7940     518.9517    3495.0912     749.7845
     243    6496.5251     303.3887     233.8363     258.6460     360.4718     319.6483    1304.3364     413.5111    2804.5172     498.1694
     244    7488.5735     774.2951     566.2310     371.5935     295.3289     304.3458    1178.8575     443.0762    2704.9161     849.9294
