#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     203    8072.8681     624.1918     404.0526     220.6904     224.7434     347.4959    3306.1914     683.7602    1446.4339     815.3087
     204    8417.1607     418.3300     292.1391     252.2972     232.0804     393.5862    3989.3887     582.1615    1254.7583    1002.4192
     205    7617.5720     551.0126     373.0533     369.3144     262.8644     251.8267    3136.6930     673.8986    1099.3964     899.5125
     206    7322.3506     617.7430     402.9763     262.9610     252.2829     326.8000    2843.6165     486.9567    1212.8927     916.1215
     207    6544.1289     325.0475     215.9819     215.6615     243.5088     247.5855    2194.5851     625.6782    1574.6592     901.4214
     208    8483.5584     772.8466     824.4702     598.5232     374.4134     469.2012    2844.1278     449.1257    1372.4587     778.3917
     209    8775.0344     500.2334     382.1598     389.6180     492.6080     549.6084    3896.0917     595.3678    1155.5025     813.8449
     210    7264.0444     664.2328     405.1977     416.9618     353.0630     454.7906    2962.0298     346.7116    1154.1837     506.8733
     211    6517.1394     505.7772     280.4135     221.3575     218.1667     278.1545    2840.5375     507.6196    1018.5027     646.6101
     212    8251.5684     768.2781     608.9064     287.2463     281.1918     526.6819    2640.3877     626.7648    1465.8679    1046.2434
     213    8751.1237     635.1822     380.4554     347.6627     365.5641     486.4749    3742.1050     512.0493    1399.8103     881.8198
     214    8083.8555    1020.8869     570.3382     303.3181     227.1333     352.3894    2893.5046     646.4974    1308.3580     761.4297
     215    7577.7249     481.0284     353.2172     263.2003     295.6867     287.4721    3391.8652     446.1719    1040.2932    1018.7901
     216    8777.2797     374.9090     598.7345     719.3895     374.9300     335.4749    3640.1675     562.8704    1290.2224     880.5815
     217    7379.6932     396.4647     247.9238     233.0804     268.4797     295.1620    3141.1671     640.1156    1273.2173     884.0826
     218    8748.5713     493.6071     406.9657     311.3284     422.8467     454.6535    3810.0278     571.6052    1398.0663     879.4705
     219    7542.6940     437.8908     242.5194     301.8393     365.2923     485.4077    2604.5324     655.7019    1551.3246     898.1856
     220    7659.5310     566.4290     527.7574     465.7596     382.2417     310.0898    3125.1966     589.8410     977.5418     714.6740
     221    8030.6243     471.1826     379.6658     338.1633     267.1557     309.4405    3678.5392     527.2245    1271.7185     787.5342
     222    6488.6983     687.7644     332.5730     314.3209     348.4118     411.1782    2426.6852     376.0412     958.7258     632.9977
     223    8707.3626     549.1362     417.7891     345.7312     358.9904     340.7079    3830.9806     536.8826    1652.9526     674.1919
     224    8254.8460     411.3310     380.8034     300.6309     310.9909     460.5410    3216.2790     529.7564    1965.2904     679.2231
     225    9581.9003     673.2700     515.3856     837.7748     470.5830     371.3209    3363.5761     521.2719    1883.9747     944.7434
     226    7955.7815     618.6324     447.5861     332.8594     401.2317     381.0755    2818.2239     579.5101    1358.0714    1018.5911
     227    7637.8831    1092.9480     512.2368     446.8727     286.5007     329.0218    2673.1681     531.7173    1167.3774     598.0402
     228    8405.5355     545.7579     413.5560     256.4833     323.8870     408.3494    3914.2154     508.7083     963.7877    1070.7905
     229    6791.0897     309.2226     198.1819     183.9284     251.2120     401.5099    2996.4551     526.3832    1081.1260     843.0707
     230    6088.6383     508.3021     291.7831     236.5333     260.9255     290.1236    2404.3139     422.3703    1096.6059     577.6806
     231    7110.2937     545.9736     256.8165     223.6756     285.8355     289.5954    3063.8309     488.6562    1407.3885     548.5215
     232    8130.3359     614.6864     434.7626     318.2604     382.2193     458.3318    2725.7796     575.6118    1713.6365     907.0474
     233    7247.9325     666.4110     576.9967     476.1111     411.1208     355.3658    2721.3002     396.5914     976.5936     667.4418
     234    5903.7407     326.2325     203.3664     232.4616     247.1350     272.3013    2391.3256     417.2542    1219.8167     593.8475
     235    7886.6252     607.7219     392.2861     251.0028     299.8147     275.6942    2807.5990     526.5630    2055.9322     670.0112
     236    9041.0285     539.2270     489.9840     375.5927     316.0588     458.6982    3219.3647     507.6460    2006.4779    1127.9793
     237    9114.4567     976.5068     555.4608     528.5133     478.3610     496.1170    3154.7841     694.0912    1365.8162     864.8062
