#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     139   10573.9140     726.9793     606.3457    1683.5292     510.6941     386.2601     407.6825     385.1173     373.3404     302.1793     404.4313    4034.0351     753.3196
     140    8930.2823     363.9476     395.9617    1733.0409     459.7852     283.3773     287.3322     285.0881     352.9639     391.3407     352.2131    3108.9725     916.2590
     141    9286.7350     572.0841     697.5282    1769.1104     302.7006     254.4814     294.2579     291.3747     286.3881     301.4282     366.8600    3120.5464    1029.9751
     142    9569.3644     810.9045     869.5316    1566.6922     387.4901     299.1493     350.8238     367.5063     358.5233     379.6738     339.9151    3042.0691     797.0854
     143    7869.9099     390.0631     434.2117    1629.1669     459.3347     272.2151     238.0625     344.6752     412.0978     397.8878     472.2643    2285.7237     534.2071
     144    8549.2660     653.3840     439.2837    1546.5659     435.9136     383.0933     410.5611     236.5665     232.2610     308.1700     375.6973    2725.3678     802.4019
     145    8619.0681     306.4625     236.4755    1181.6542     551.7267     645.7997     517.5348     466.3145     267.5070     275.4090     356.4986    3073.4803     740.2054
     146    8484.0523     382.2891     271.2550    1539.2121     637.2803     536.1593     431.7450     343.0212     266.4004     288.7841     353.9388    2563.8054     870.1615
     147    8704.0041     514.3618     442.6627    1503.1282     389.8151     245.9537     276.8014     431.5752     508.4287     413.3277     405.0175    2752.3176     820.6145
     148    8954.0000     505.9762     305.6443    1591.4004     526.8878     395.3399     265.2100     204.2822     225.4291     316.2723     352.6247    3596.3136     668.6194
     149    9554.9394     582.4667     503.7200    1495.9716     571.8862     323.7128     238.0263     236.3574     405.4420     422.3349     427.5391    3353.8231     993.6593
     150    7050.0239     448.2314     342.1764    1112.0980     336.0584     281.5868     286.8350     381.0073     455.8587     367.7874     346.4147    2137.8419     554.1278
     151    8762.4271     387.5981     284.0813    1448.8275     571.0764     456.3512     470.9865     413.5428     502.6807     519.4383     454.5835    2700.6434     552.6175
     152    8512.7198     451.6903     300.0881    1161.2999     696.0525     585.4388     277.5097     238.2351     192.3110     214.1265     325.1030    3416.9631     653.9019
     153    9176.1258     578.0244     664.6947    1333.2815     439.2352     338.4992     305.5749     267.9530     242.7328     214.4385     268.1163    3596.8751     926.7000
     154   10448.2649     801.8003     637.1298    1994.1879     599.7985     267.1896     200.9731     204.3150     270.0962     375.4674     452.8436    3585.6141    1058.8495
     155    8766.5910     490.5857     374.3822     997.7720     448.2322     414.2987     319.9790     249.7173     214.7752     275.2553     375.9744    3748.2642     857.3547
