#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     286    6554.6397     620.0284     320.3072     291.2977    1283.2558     389.4934    2925.2854     724.9718
     287    6444.5122     309.9395     206.0487     208.4578    1202.8290     467.0267    3285.2489     764.9616
     288    4667.3682     323.3698     204.1642     191.2469     908.1224     457.2070    1874.1055     709.1523
     289    6772.0654     545.4315     590.8364     339.2550     985.0325     545.8834    2932.8383     832.7881
     290    6838.6908     824.5570     495.8299     523.4610    1124.2719     525.3770    2523.8587     821.3352
     291    6348.7467     306.4154     205.5865     205.2856    1391.8758     575.7541    2746.3902     917.4392
     292    6812.2807     440.0934     409.9517     446.9304    1624.7338     547.9967    2469.6759     872.8988
     293    6432.2560     375.0720     357.8460     433.4179    1309.5031     584.6852    2857.6004     514.1313
     294    8351.2826     496.8193     533.4911     737.9228    2002.2766     770.8946    2876.5139     933.3642
     295    6547.6762     372.4165     321.3426     358.7758    1242.2427     391.8663    3066.1222     794.9101
     296    5019.0403     305.4368     198.2469     199.4013     903.4581     427.1849    2363.2598     622.0525
     297    7431.8880     835.5513     621.5213     441.8077    1423.0653     605.4221    2643.5789     860.9413
     298    5948.5349     479.2533     343.9728     324.1796    1334.0730     471.5382    2413.7434     581.7746
     299    6292.4529     588.5997     435.2361     544.1677    1153.1494     469.5958    2456.7998     644.9043
