#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      95   11937.7417     410.7231     333.6321    1396.7787     626.0070     477.0385     377.7876     423.5275     331.4204     335.4197     272.7087     288.5666     318.8735     471.9301     516.7892     657.0187     644.3956    3209.5200     845.6047
      96   12017.2527     324.5520     377.6547    1560.2276     536.6012     553.5158     501.9992     473.0304     533.3097     613.8732     595.7753     342.5091     221.6284     213.0273     256.6153     389.4598     468.5239    2908.1776    1146.7723
      97   12299.1128     675.0385     410.4555    1195.6420     627.9933     691.9628     542.2336     486.5664     468.5235     266.1366     298.2160     356.2013     323.4204     375.5570     404.3262     367.4113     428.8528    3572.0640     808.5116
      98   11265.3312     698.2431     497.3387    1312.9968     681.9747     550.6969     380.1402     301.9357     270.7098     235.0231     232.8641     276.9732     395.8384     409.3723     318.5302     356.4729     504.6052    3007.8157     833.8004
      99   10515.0445     468.3541     364.0136    1062.2061     366.0326     354.7048     280.3274     258.9403     296.4959     401.7773     392.3311     396.1788     291.6511     313.6341     248.3696     284.6096     351.5976    3308.7006    1075.1199
     100   12052.0456     350.9689     414.6683    1631.7623     609.7489     520.2764     274.4239     289.0180     398.1443     390.5013     347.3134     248.8144     316.7906     287.5311     204.7773     203.3404     280.8160    4342.2867     940.8633
     101   12562.5290     640.2723     603.1497    1949.6637     634.0108     296.1102     307.2359     492.0720     648.6171     480.1157     431.5107     291.1109     249.6980     266.5147     316.1281     371.2656     509.1083    3281.6223     794.3228
     102   10457.1807     328.1541     432.1510    1610.5080     648.9714     432.8137     335.7719     252.4525     226.4679     266.1880     318.1977     412.6890     349.2975     339.6338     292.6682     383.6400     411.7378    2718.0019     697.8365
     103   12617.2943     444.1376     500.7789    2142.0419     509.2208     335.9321     373.3415     434.8358     436.6046     375.2987     420.5337     396.0888     330.1581     395.8382     361.9790     373.5904     532.5515    3420.5393     833.8234
     104   10478.5006     710.7187     566.2440    1569.1655     449.3003     229.7254     228.0493     258.6825     253.2492     194.4611     182.2469     270.0132     324.4000     296.7221     290.6159     298.4064     320.4472    3195.9374     840.1156
     105    9229.5496     622.4214     460.4813    1298.3927     457.3045     367.8502     280.7274     279.5745     317.2290     337.7228     316.6783     308.4647     229.1946     209.2380     316.6847     300.5203     274.2326    2340.3228     512.5098
     106   12387.3407     611.0265     758.9646    1718.6865     672.7709     507.4479     498.3445     477.1899     309.9806     263.6386     228.4519     291.1194     296.5298     292.3862     290.2104     414.5728     321.5208    3705.4176     729.0816
     107   10615.1323     707.6630     530.7432    1491.3730     489.3167     421.8687     344.4589     263.5805     231.1672     288.1085     328.8822     273.0425     268.7370     443.1341     528.0292     583.4279     420.4025    2508.3013     492.8957
     108   12892.4819     652.5243     535.7853    1700.5412     542.1846     336.6874     361.0248     287.8611     277.7684     234.4738     214.5038     255.5089     408.8515     376.1623     373.9914     397.6798     405.6844    4388.5650    1142.6838
     109   11050.4650     712.3134     642.4061    1443.6132     474.1988     288.6963     292.4136     329.9938     419.6781     337.5119     246.4633     227.2671     271.9397     299.5220     244.4089     290.2261     357.6378    3236.4355     935.7393
     110   12330.2703     428.2142     491.1229    2003.5855     847.5220     509.8323     314.9535     293.5542     441.8080     503.2373     650.1087     599.7144     555.6551     372.6732     307.5482     308.4565     369.6035    2396.3632     936.3176
     111    9790.0721     429.7012     334.7732    1471.8761     372.6516     258.6639     261.9451     420.2932     569.0506     486.1245     530.2171     521.9739     326.8433     222.5332     190.7992     199.2540     249.5887    2269.8206     673.9627
     112   10225.9948     544.6049     644.5868    1204.2649     277.9128     246.9748     212.1971     201.2091     305.4583     363.0006     322.0322     300.3452     313.0438     338.6157     315.7953     372.4777     511.0793    2842.5043     909.8918
     113   11491.2504     828.6301     610.1864    1763.7036     457.5601     441.1395     268.2612     227.8066     236.7146     245.5861     377.1252     404.0031     286.2179     351.5323     297.7753     330.6590     437.0977    3039.7200     887.5316
     114   11693.9103     310.9329     308.1559    1995.2751     590.2931     493.4840     419.8630     346.0505     253.8297     206.4470     205.0567     203.4601     214.7043     275.4250     338.9609     517.1947     756.7669    3301.0943     956.9161
     115    9945.7046     442.1667     341.5855    1156.3905     324.7622     230.7448     251.8506     247.8404     325.5257     452.3039     462.5384     348.0598     215.5448     200.5746     289.4781     475.5801     476.7819    3008.3761     695.6006
     116   11428.2829     545.6618     554.6067    1446.9878     593.3572     385.3748     284.8036     355.6175     528.2022     421.7818     318.4362     215.0942     199.4835     199.0151     249.1945     553.7520     778.2836    3112.0293     686.6014
     117   10240.3398     540.7332     530.1659    1738.9480     406.5293     288.6369     247.5526     247.7711     426.2829     328.2375     243.7891     258.9741     285.9836     271.0964     295.3915     280.0636     317.9829    2763.0164     769.1848
     118   11821.3217     633.0637     529.4666    1452.1776     489.9876     280.5498     314.5120     393.8675     348.5580     363.6960     298.2538     262.8533     314.9284     333.9917     274.7650     351.5273     393.9062    4021.5043     763.7128
     119   12542.6406     424.9771     786.5023    1619.1092     533.9080     541.8349     359.2489     275.3058     262.4566     236.1248     291.2263     446.1886     487.8800     331.7829     393.4214     324.1715     372.5635    3771.3140    1084.6247
     120   14421.7445     608.7677     526.5966    1922.7385     470.6843     520.3271     665.5399     534.2403     347.0634     318.1108     436.4486     487.4657     351.8041     307.7814     254.8254     248.7775     266.1492    5109.7552    1044.6687
     121   11779.0663     402.5853     314.8774    1456.4538     428.5075     433.6988     489.5686     463.6557     359.2947     455.6842     451.7167     409.6863     276.0990     274.0754     335.1393     450.5457     467.3596    3322.4546     987.6637
     122   12983.1769     753.0883     626.3457    1851.1522     450.7556     343.9464     379.6602     335.0414     260.2555     236.3991     268.5175     379.9051     571.2619     489.7582     381.8673     333.3343     360.8190    3638.2560    1322.8131
     123    9934.5685     522.3374     505.1192    1269.4940     406.0459     401.3319     330.1064     400.0971     384.5052     325.6093     341.4516     307.7045     218.5423     184.5472     193.6920     192.1872     255.5164    2966.9161     729.3648
     124   14298.3972     833.9868     813.4679    2430.2246     585.2981     438.2934     435.9811     632.6602     379.3078     341.2771     408.8786     481.9405     282.1847     235.0196     302.3755     419.7983     480.1794    3745.8026    1051.7210
     125   11529.5194     731.2598     469.8988    1796.3464     567.5651     473.9438     480.0006     365.3874     208.3735     201.0400     289.8844     378.0253     426.3340     270.7504     214.9184     269.5221     343.5820    3043.7535     998.9339
     126   10734.4389     467.0664     511.6635    1329.2992     617.2115     489.9625     325.4492     225.9446     207.4677     236.2077     319.7126     346.6073     396.6432     402.4715     311.0503     331.9639     433.6075    2981.1187     800.9917
     127   11935.9957     356.4307     378.8708    1245.2863     476.5426     441.4607     309.2571     386.3253     468.5603     440.6241     437.6146     360.0735     498.9579     436.1972     404.2995     368.7384     409.2304    3431.1082    1086.4180
     128   10777.4838     402.8910     330.7811    1430.6723     592.3923     413.8643     305.3707     385.3967     621.9187     728.1335     417.7112     221.3975     199.8936     199.3056     193.0136     212.2355     338.9786    3100.0105     683.5171
     129   10680.2978     879.1065     772.3202    1697.2310     705.9166     500.6862     280.4708     288.6891     258.4113     221.6868     199.7335     193.7490     217.6587     261.5079     278.8413     344.7994     322.1682    2286.9336     970.3875
     130   13091.1048     680.6217     707.3533    2243.1088     399.6799     310.1176     344.6288     284.7445     360.3197     417.9253     426.8437     422.5321     445.9749     390.4786     361.7408     330.2395     343.6053    3601.0042    1020.1859
     131   10794.0169     568.5531     626.4387    1741.0338     548.3300     293.3489     232.5185     276.2823     254.7543     249.5018     252.6592     203.4006     174.2100     184.8591     182.2481     180.6002     342.8679    3358.4779    1123.9327
     132   12687.4963     448.5239     462.6899    1793.0401     402.5674     330.1049     476.4237     649.2425     547.1670     502.8342     414.4414     412.1616     430.8059     401.5892     387.1866     479.6910     556.0449    3140.3632     852.6191
