#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     196    5291.3965     320.0676     252.7610    1326.4225     477.0879    2126.8314     788.2262
     197    6042.9688     348.5909     278.4454    1082.9938     426.2789    3131.7352     774.9245
     198    7128.9981     617.3510     700.7613    1016.7164     488.8010    3453.5049     851.8635
     199    6230.8979     431.1297     338.2414    1588.3770     560.3027    2573.8722     738.9747
     200    7124.7897     442.3814     421.6260    1790.8462     577.2613    2847.4265    1045.2483
     201    5661.0743     350.2042     303.5198    1540.2557     479.0376    2309.6344     678.4226
     202    7189.3635     590.0561     529.2811    1624.6206     664.1709    2839.8746     941.3602
     203    6536.0356     456.7216     447.4381    1525.5475     566.3110    2894.7400     645.2774
     204    5636.7722     323.8790     255.9951    1305.2656     434.3993    2623.3815     693.8517
     205    4724.7705     319.2165     232.4670    1026.9191     360.6908    2261.9410     523.5361
     206    6564.2153     565.5337     377.1614    1439.7641     410.8097    2981.4609     789.4856
     207    5842.6461     358.2695     354.9849    1562.8882     522.2942    2099.3529     944.8565
     208    8417.8343     489.5441     519.9054    1970.3889     760.5544    3580.6651    1096.7763
     209    7267.3692     695.4574     356.4598    1307.4430     459.1145    3582.6451     866.2494
     210    5363.8284     452.7747     305.6367    1291.1295     394.2202    2297.0006     623.0668
     211    4289.8088     344.1541     255.7170     851.4371     361.7930    1867.1713     609.5363
     212    6690.4428     549.7475     382.4634    1712.7865     412.0695    2880.6414     752.7344
     213    5199.9891     324.9195     413.1181     866.5724     359.3838    2545.5973     690.3979
     214    6613.3219     498.4203     476.7472    1132.2979     486.2525    3206.6210     812.9830
     215    6072.6249     493.7992     314.9811    1423.8121     416.7351    2825.4073     597.8901
     216    6496.7170     622.8487     499.6974    1155.8007     650.0138    2654.1802     914.1763
     217    6656.1961     394.2411     379.0070    1714.7532     556.1077    2945.5317     666.5554
     218    5390.4196     339.3299     257.3152    1418.9446     429.6076    2414.0740     531.1483
     219    6356.1128     428.0452     359.8830    1490.8077     591.4539    2604.5089     881.4140
     220    7029.9817     653.8709     482.5502    1583.6937     373.3288    3355.0064     581.5317
     221    5669.1349     355.1949     277.2471    1137.0313     519.5892    2636.5536     743.5188
     222    6836.3810     713.6866     429.2070    1045.6870     595.2111    3192.5065     860.0828
     223    5634.4482     429.7136     336.5505    1612.9412     536.4269    1886.2586     832.5574
     224    5912.5318     335.4635     389.0111    1205.1422     614.4289    2609.8275     758.6586
     225    7538.8057     922.5528     389.7477    1645.2771     596.7539    3001.8662     982.6081
     226    6615.3780     430.7497     436.8532    1152.2761     550.4029    3195.4756     849.6205
     227    5515.1388     373.6050     349.8932    1043.8414     462.4805    2612.1937     673.1250
     228    5696.8030     312.2307     228.8247    1479.8655     535.6378    2368.7711     771.4733
     229    6136.3133     463.4216     414.3233    1187.2895     399.8649    2899.9715     771.4424
     230    6591.9597     388.3697     343.3062    1525.0480     511.1653    3119.3212     704.7492
     231    7318.3094     642.1407     534.6893    1857.6632     583.7874    3016.9799     683.0488
     232    6148.7956     479.7142     315.4569    1380.1642     529.2690    2865.8503     578.3411
     233    6897.0476     437.8130     645.0708    1062.6262     397.4670    3499.5631     854.5075
     234    5951.0156     560.6486     483.0989    1156.4002     477.3140    2695.8479     577.7060
     235    5733.8790     498.3320     378.0026    1008.4110     391.9414    2835.3452     621.8467
     236    6040.1710     358.7813     348.5012    1202.6408     573.4941    2761.6217     795.1319
     237    5372.8290     401.8827     370.8851    1188.0573     419.7424    2430.2911     561.9705
     238    6864.0905     730.3480     610.9872    1143.0669     553.4248    3003.4839     822.7797
     239    4491.9812     309.4013     245.6050    1098.3228     323.5831    1899.0787     615.9904
     240    5590.1627     335.2768     280.1384    1372.9403     410.2076    2698.5363     493.0633
     241    6024.1708     611.9944     605.1131    1528.7500     443.8430    2106.2951     728.1751
     242    5034.9645     511.5130     442.7120    1130.8567     468.2638    1899.7918     581.8273
     243    6401.8416     777.6471     389.3875    1280.9714     568.3845    2515.4644     869.9867
     244    6617.3126     344.3912     377.2857    1791.8511     632.8619    2651.0471     819.8755
     245    4903.7967     364.6719     286.2348    1371.9615     390.5865    1851.4678     638.8743
     246    5859.5434     334.0108     266.6843    1362.9990     544.3163    2625.0291     726.5039
     247    6423.8124     538.8783     311.1951    1584.7292     467.7467    2840.6374     680.6257
     248    6532.9317     333.7807     311.0357    1717.3863     718.2564    2536.1431     916.3295
     249    6493.6747     497.1162     554.9985    1317.0382     369.8004    3105.4403     649.2812
     250    4381.3102     313.0342     245.5059     968.6053     341.0344    2034.8360     478.2944
     251    6627.2083     565.5456     407.4577    1657.5058     523.3083    2602.7153     870.6756
     252    6837.4375     493.9477     393.2091    1628.1272     627.3011    2764.7328     930.1196
     253    4139.0973     339.1725     267.5472     899.4406     320.6320    1779.7540     532.5510
     254    5600.9331     377.2858     332.1293    1290.3503     466.2173    2342.9434     792.0070
     255    6366.1093     457.1900     334.5844    1565.2387     540.9703    2527.4961     940.6298
     256    6070.6949     473.5724     635.0780    1262.7701     368.8450    2647.9795     682.4498
     257    6596.1846     491.2838     450.3715    1370.4460     432.5711    3295.1925     556.3197
     258    7563.9662     367.8018     494.5998    1414.7889     670.5786    3916.4892     699.7080
     259    7136.0054     681.1563     365.5227    1594.3037     630.5933    2895.6172     968.8122
     260    7714.8759     872.2648     674.0894    1814.5585     713.3177    2581.0227    1059.6229
     261    5896.3524     424.9610     331.7006    1081.6489     606.9686    2536.5228     914.5504
     262    5293.2819     345.3763     323.9551    1089.6123     400.1525    2549.0630     585.1227
     263    5969.4276     313.6072     310.7283    1389.8956     605.2195    2534.5136     815.4634
     264    4727.7106     313.7151     224.7628     983.0434     490.9320    2038.5848     676.6725
     265    5340.7659     478.2761     451.7218    1112.6313     473.1196    2000.3516     824.6655
     266    5085.3349     336.1509     257.3061    1282.1582     515.6651    1897.0600     796.9945
     267    5385.4378     443.7382     314.0341    1100.0713     339.1607    2475.0575     713.3761
     268    5502.4164     414.2109     347.3343    1091.6455     342.5817    2644.1802     662.4639
     269    6779.3598     549.3740     519.5034    1017.0263     356.8053    3501.6753     834.9756
     270    6252.2161     477.6571     391.4526    1601.1869     451.7229    2821.8042     508.3923
     271    6256.6383     309.5001     270.5076    1434.5469     459.8566    3058.5297     723.6974
     272    6086.7143     470.5564     420.0353    1010.2428     338.9002    2944.4246     902.5549
     273    6577.6700     479.2202     491.3181    1378.1302     626.5596    2679.1756     923.2663
     274    7740.3763     424.9446     401.0714    1649.8148     401.1688    3819.6844    1043.6923
     275    6194.4161     321.2834     277.4752    1436.9507     567.4883    2680.6944     910.5240
     276    5655.9771     499.9585     524.2315    1373.0045     413.1636    2209.8719     635.7470
     277    5746.1561     380.9043     348.6321    1602.8217     544.0693    1936.2024     933.5263
