#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     165    8677.5890     356.3353     311.0462     291.2331     286.8040     380.0812     535.9660     347.0830     291.9090    1394.0207     567.5528    3179.4757     736.0819
     166    7550.3671     400.6351     243.3309     220.5649     219.7242     237.8045     296.3080     323.6323     302.3276    1090.7828     357.7283    3119.5970     737.9316
     167    7827.6544     348.7488     375.4409     404.0267     392.9055     444.2306     424.1920     221.3639     240.9924    1125.6017     411.4719    2704.0389     734.6412
     168    9045.7159     720.2244     521.5518     358.4296     222.4245     209.3667     279.4177     431.2905     423.4811    1258.9230     632.5061    3003.0793     985.0213
     169    8224.2186     387.0617     315.2637     294.0543     324.5389     281.6389     315.8349     326.4824     290.5251    1145.2862     608.4046    3144.6797     790.4481
     170    8319.1033     820.4141     300.5642     252.5707     297.9278     273.9628     223.1065     203.8265     246.2678    1498.3039     572.2071    2673.1918     956.7600
     171    7349.4251     461.4239     419.6017     338.1842     260.0237     217.9687     259.1526     273.0630     461.0290    1095.9198     477.2735    2543.2560     542.5292
     172   10442.4713     418.8546     357.0996     467.0427     445.7374     348.1522     355.2634     314.8954     332.4013    1825.4371     806.8757    3907.6224     863.0893
     173    9653.5938     604.0201     243.3659     214.0139     288.9851     286.9378     536.9130     696.0569     496.2915    1499.0391     776.4933    2935.9603    1075.5170
     174    8862.5125     474.1730     532.3775     622.7793     485.8902     357.6913     343.7914     310.5964     357.0704    1306.1685     479.8494    2862.4836     729.6414
     175    6747.0353     349.9762     246.2382     217.7671     219.8763     212.4198     202.5375     199.3773     247.1416     923.2870     356.9131    2808.2500     763.2513
     176   10372.1246     671.8215     279.7556     274.6795     469.5042     469.1567     396.8407     481.0509     528.8851    1569.7015     483.3059    3941.9256     805.4974
     177    8909.3565     335.9423     396.2811     385.0121     343.2765     339.4517     355.7751     446.5509     448.9941    1248.2205     533.1198    3161.4586     915.2736
     178   10841.1041     578.7526     500.2177     432.3799     367.4677     317.2087     282.9891     265.6579     370.8205    2165.6016     468.3672    3928.0467    1163.5943
     179    8681.0661     869.4308     682.0153     474.8164     329.6406     259.1935     210.4661     232.2445     369.4444    1516.5700     479.1298    2387.7516     870.3630
     180   10433.0075     517.9151     429.2245     547.2369     413.1250     425.6103     431.3299     498.9442     501.3349    1639.7667     627.1051    3772.4731     628.9417
     181    7101.5855     328.6139     208.1078     184.9549     178.7307     215.4937     392.7154     515.4284     448.9352    1109.2768     420.7107    2476.2961     622.3219
     182    8201.8262     519.9745     556.9822     581.5856     387.9474     245.6837     274.3199     335.1032     374.2463    1259.7823     420.7153    2579.3741     666.1116
     183    6250.8130     311.0447     210.1572     213.7913     242.7093     264.9200     278.5043     282.3636     323.8982    1106.9273     347.7411    2184.3098     484.4463
     184    9704.2952     699.9442     565.9403     430.5635     346.9824     331.5922     274.8752     324.3809     406.0949    1284.2763     559.1877    3660.1240     820.3336
     185    8943.3791     419.6622     427.2768     491.4728     406.1426     371.1882     448.2990     346.0330     346.2434    1103.0711     492.8076    3492.8893     598.2930
     186    9434.6267     355.2000     365.3133     450.5049     439.9108     532.8281     589.1592     454.3295     389.8336    1236.7918     514.6295    3443.1825     662.9434
     187    9133.2633     613.0554     510.9837     489.4642     310.7172     234.5219     299.1121     404.9927     370.8710    1543.1413     577.7524    3044.6730     733.9783
     188    7734.1969     310.0883     201.0003     240.9974     294.4602     289.6895     266.4516     236.1289     315.7468    1198.7410     586.9073    2715.8731    1078.1126
     189    7892.4970     541.0601     378.6619     327.9640     355.4015     315.2593     228.2549     197.4113     221.0098    1131.4522     495.7864    2933.8148     766.4209
     190    8772.0959     648.6140     544.1104     600.8898     411.9840     248.0072     266.4634     311.5651     314.9432    1035.4675     595.4851    2948.1420     846.4241
     191   10070.9086     811.6272     855.0612     658.4466     471.4191     427.3975     535.4285     521.7007     437.1203    1363.9207     665.5940    2383.5516     939.6412
