#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     298    4554.1614     308.0542     233.8910    2073.2826     360.1501    1062.3430     516.4405
     299    5189.9508     458.7570     333.3454    2532.1599     368.0201    1002.1263     495.5422
     300    5661.3950     557.0422     418.3046    2511.2582     406.5456    1263.5405     504.7039
     301    6695.9535     489.7987     466.9106    3082.3624     607.4560    1240.9348     808.4910
     302    5032.7726     424.7236     330.6166    2437.7352     324.9516     857.8986     656.8469
     303    5918.7897     379.0340     309.9314    2762.1960     507.8316    1065.4459     894.3508
     304    6119.6369     637.8511     500.7776    2644.8784     599.7643     977.8416     758.5240
     305    7313.2496     752.0364     466.2209    3273.8302     401.3505    1476.5829     943.2286
     306    4961.2610     533.6191     395.2638    1950.1890     423.4909    1184.9280     473.7702
     307    6189.9073     685.9863     551.9552    2526.6526     533.2701    1030.0749     861.9680
     308    6796.9517     998.2376     582.9622    2945.7668     589.8190    1126.0760     554.0901
     309    6603.7395     567.4242     387.0596    3191.8511     442.7688    1226.3254     788.3105
     310    7007.7048     635.0942     496.0042    3099.1643     535.8818    1542.8207     698.7395
     311    4575.4814     307.4085     255.3530    2161.1456     348.2663     865.6398     637.6682
     312    6698.0192     717.8738     580.4253    2844.8603     463.1291    1529.1037     562.6271
     313    8344.2918     781.4609     484.3789    3676.9923     615.4505    1727.6020    1058.4072
     314    6490.1252     631.1609     414.9292    2953.9356     473.5522    1423.8602     592.6871
     315    5567.7714     484.5434     463.4918    2316.9758     600.8081    1005.1595     696.7928
     316    6521.5104     475.6787     428.0025    2856.7393     509.7303    1580.1078     671.2517
     317    6296.2643     489.0388     350.7194    2637.5787     422.3260    1791.7039     604.8975
     318    5985.8113     527.0693     409.6034    2708.5063     527.8584    1075.6085     737.1655
     319    6003.2268     459.8992     553.9962    2425.7083     486.1893    1514.2319     563.2019
     320    5941.3340     360.8060     311.2215    2832.6145     501.1771    1107.6095     827.9053
     321    6152.0877     641.1182     423.3011    2768.1627     473.5553     954.5725     891.3779
     322    4969.9349     369.5355     310.0998    2132.3970     494.1868     971.8250     691.8907
     323    8388.9433     909.9394     511.1779    3807.4819     610.8862    1689.5366     859.9213
     324    4783.9942     376.8038     280.7673    2015.3321     408.7010    1165.3686     537.0215
     325    6361.8565     399.6602     358.5900    2283.0151     634.6627    1765.6381     920.2904
     326    6290.8127     362.2946     294.2991    2922.2887     402.2243    1627.2421     682.4639
     327    7576.4026     616.6862     506.8554    3358.9752     572.2728    1583.3409     938.2720
