#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     215    7262.8692     527.5030     380.3335     323.2844    3324.8662     615.5384    1258.8110     832.5327
     216    7653.7576     618.5878     669.9074     392.0914    3675.4862     387.0847    1005.7625     904.8376
     217    5965.3995     649.3324     352.1926     393.8672    2064.6846     475.1895    1287.3979     742.7353
     218    7628.8767     954.4621     667.5623     417.0799    2875.3801     694.6323    1250.3309     769.4289
     219    8435.7439     430.7681     423.0730     415.7157    3538.4856     656.1307    1923.8166    1047.7541
     220    9885.1180     886.8926     934.8634     603.7864    4184.1592     718.5336    1578.2984     978.5844
     221    6902.3759     575.0092     321.7226     350.0807    2560.8922     609.2851    1565.0121     920.3740
     222    6893.0397     505.0564     456.5336     352.5554    3071.8785     603.0711    1321.8146     582.1300
     223    8067.4663     663.6085     514.0488     392.0693    3783.2845     478.6501    1274.9867     960.8184
     224    5748.1821     730.1560     363.8715     323.0110    2404.1925     396.6341     895.4253     634.8917
     225    6416.2402     395.5684     403.5170     327.0238    3099.3690     448.5358     926.3631     815.8631
     226    6866.5406     555.1317     379.0580     337.9612    3193.2743     474.6904    1010.9069     915.5182
     227    7657.2338     474.8785     589.7174     399.5793    3229.6117     492.5941    1632.6449     838.2079
     228    6499.1697     365.3798     333.5369     354.8811    2935.5419     552.1830    1246.4884     711.1586
     229    8159.5767     520.9089     587.8164     536.8874    3522.1888     625.3765    1377.9074     988.4913
     230    6746.2508     320.4107     224.5955     295.5446    3035.9616     610.2858    1349.5264     909.9263
     231    4884.9629     300.5166     219.6675     243.8046    2069.0107     452.9182     959.5825     639.4628
     232    5696.7310     577.7633     476.1382     384.5585    1960.6458     423.2722    1029.4110     844.9421
     233    5306.2682     331.1018     272.1891     309.9803    2366.0906     330.7222    1105.9464     590.2378
     234    6858.1710     388.9217     408.9490     426.9727    3365.7750     509.9531    1285.4575     472.1420
     235    5864.1833     644.1001     376.2459     358.2848    2336.3733     379.1001    1230.7647     539.3144
     236    7453.2287     659.3828     602.0247     440.7754    3022.3442     614.9729    1430.3476     683.3810
     237    8060.0855     671.0167     428.9889     402.9048    3899.8907     581.0796    1144.9971     931.2077
     238    6988.0107     572.9400     402.2585     439.4605    3040.6999     436.9156    1225.2781     870.4580
     239    5468.2760     516.5864     358.6851     371.1849    2398.4584     407.1949     887.3034     528.8629
     240    5714.5696     509.0822     269.1303     291.6690    2273.1339     519.7911    1097.3266     754.4365
     241    7960.4744     690.5673     507.7880     463.4574    3456.8738     515.5804    1575.8166     750.3908
     242    5064.4153     388.1164     326.7451     424.9655    2054.2233     339.8756     948.4111     582.0783
     243    7233.4806     614.5766     364.5038     376.4921    3119.3860     584.8753    1235.4945     938.1524
     244    7078.5608     608.5800     449.0942     385.9171    3184.9422     535.8694    1159.2377     754.9202
